순위,채널명,태그,일일_신규구독자,전체구독자
74,촛불잔치,"#윤석열, #조국의시간","1,000명(2.3%)
                ","
                44,000
              "
75,CHEF OBANG,"#Mukbang, #Philippines","1,000명(1.7%)
                ","
                57,200
              "
76,연변 웃긴 영상 총집합,,"930명(8.9%)
                ","
                10,400
              "
77,하음쿠킹 Haeum Cooking,"#간단요리, #easyrecipe","900명(4.6%)
                ","
                19,500
              "
78,ETF읽어주는남자 : 이읽남,"#ETF, #S","900명(4%)
                ","
                22,300
              "
79,세리세라,"#세리세라, #도자기","900명(4%)
                ","
                22,400
              "
80,한국 완두콩,"#funny, #animation","900명(3.7%)
                ","
                24,500
              "
81, Funny Funny TV,,"900명(3.6%)
                ","
                24,700
              "
82,리얼캐스트TV,"#리얼캐스트, #부동산","900명(3.1%)
                ","
                29,000
              "
83,사진기자머길,"#EOSR6, #R6","900명(2.8%)
                ","
                32,500
              "
84,근성왕 겜마톡,"#메이플, #메이플스토리","900명(2.3%)
                ","
                38,500
              "
85,에익쿠,,"900명(2.3%)
                ","
                39,800
              "
86,겜꿀TV,"#로블록스, #마인크래프트","900명(2.1%)
                ","
                42,900
              "
87,별사탕 뉴스,"#뽕숭아학당, #사랑의콜센타","900명(1.5%)
                ","
                59,400
              "
88,Cece Kim,"#vlog, #일상","801명(1.8%)
                ","
                43,900
              "
89,우아 ooa,"#의대생, #브이로그","800명(7.3%)
                ","
                10,900
              "
90,BeamNG User,,"800명(7.1%)
                ","
                11,200
              "
91,뚝딱뚝딱계란씨,"#저녁메뉴, #집밥브이로그","800명(5.5%)
                ","
                14,500
              "
92,크립토 노마드,"#비트코인, #이더리움","800명(4.6%)
                ","
                17,300
              "
93,펄이지엥 Pearlysien,"#브이로그, #vlog","800명(2.5%)
                ","
                31,600
              "
94,[샌디앤킴] 시칠리아샌디와 정선킴의 이야기,"#한국, #외국인","800명(2.4%)
                ","
                33,100
              "
95,괴담실록 [조선·동아시아 야사·괴담],"#무서운이야기, #공포","800명(2.3%)
                ","
                35,100
              "
96,백그라운드TV,"#해수어, #오징어","800명(1.6%)
                ","
                50,400
              "
97,Dacle,"#비트코인, #알트코인","799명(2%)
                ","
                40,599
              "
98,요리할레오,"#강레오, #마스터셰프코리아","799명(1.9%)
                ","
                42,699
              "
99,‘Mr스크류바,,"701명(3.3%)
                ","
                21,000
              "
100,Minimalist Paik 極簡小白,"#極簡生活, #미니멀라이프","701명(1.5%)
                ","
                45,900
              "
101,라오스 행동대장,"#라오스, #라오스","700명(4.5%)
                ","
                15,600
              "
102,픽고 PickGo,"#웹드라마, #플레이리스트","700명(3%)
                ","
                23,600
              "
103,이사*Ysa Kpop,,"700명(2.6%)
                ","
                26,700
              "
104,소림사 주방장 Bom Song,"#mukbang, #먹방","700명(2%)
                ","
                34,700
              "
105,언제나가을 ALWAYSFALL,"#보더콜리, #강아지","700명(1.9%)
                ","
                36,500
              "
106,칰타,"#칰타, #만화","700명(1.7%)
                ","
                41,600
              "
107,BE:Happy,,"700명(1.7%)
                ","
                42,200
              "
108,헬高생,,"700명(1.6%)
                ","
                45,100
              "
109,BLACKPINK Fan Club,"#blackpink, #YG","699명(5.1%)
                ","
                13,799
              "
110,연필깎이,"#magovideo, #videoshop, #VivaVideo, #Musical, #followme, #fridaynightfunkin","699명(2.8%)
                ","
                25,299
              "
111,주식하는강이사,"#주식강의, #강이사","699명(2.5%)
                ","
                27,799
              "
112,애니홀로,,"601명(2.6%)
                ","
                23,400
              "
113,선시티 5스타,"#키토바이옴, #키토제닉","601명(2.6%)
                ","
                23,400
              "
114,기가막힌앙다,#VLLO,"600명(5.7%)
                ","
                10,600
              "
115,만재ManJaeTv,"#헬린이, #vlog","600명(4.6%)
                ","
                13,000
              "
116,이은영tv,"#휴먼앤데이터, #이은영TV","600명(4.5%)
                ","
                13,300
              "
117,은하별 Galaxy stars,,"600명(3.2%)
                ","
                18,700
              "
118,빅헤드의 롤 X 같이 하네,"#레인보우식스시즈, #FPS","600명(3.1%)
                ","
                19,100
              "
119,무비이슈,"#영화, #고몽","600명(3.1%)
                ","
                19,300
              "
120,Hanbit Cho,"#조한빛, #hanbitcho","600명(3.1%)
                ","
                19,300
              "
121,단커피,"#해외뉴스, #할리우드","600명(2.6%)
                ","
                23,500
              "
122,김치김치쿵쿵따,"#엔시티드림, #엔시티","600명(2.3%)
                ","
                26,000
              "
123,샴발라 TV,,"600명(1.9%)
                ","
                31,800
              "
124,Hailey _Your Korean Friend,"#Korean, #Hangul","600명(1.7%)
                ","
                34,700
              "
125,Ode Studio Seoul,,"600명(1.6%)
                ","
                38,100
              "
126,트로트 메들리 모음,"#홍진영, #트로트","599명(1.8%)
                ","
                32,599
              "
127,우리역사바로알기,"#한국사, #역사","501명(2.2%)
                ","
                23,300
              "
128,두둥튜브DODUNG,"#래빗벙커, #두둥","500명(4.7%)
                ","
                10,600
              "
129,워쳐스클럽 Watchers Club,"#Seoul, #seoul4k","500명(2.9%)
                ","
                17,200
              "
130,DALNA달나,"#신생아, #성장기록","500명(2.7%)
                ","
                18,800
              "
131,리치주민센터 - Rich Zoom In Center,"#리치주민센터, #강흥보","500명(2.7%)
                ","
                18,800
              "
132,뉴스토마토,"#뉴스토마토, #경제","500명(2.6%)
                ","
                19,000
              "
133,蕭伊소이,,"500명(2.6%)
                ","
                19,400
              "
134,미스터원의 필리핀 라이프Mr Won,"#필리핀, #미스터원","500명(2.4%)
                ","
                20,500
              "
135,소사주 sosaju,"#줌마다이어트, #줌마요가","500명(2.3%)
                ","
                21,700
              "
136,차차의퍙튜브,"#자동차, #it","500명(2.3%)
                ","
                22,100
              "
137,연세신통tv,"#연세신통마취통증의학과, #청량리정형외과","500명(2.2%)
                ","
                22,700
              "
138,독학골퍼의 레슨리뷰 John's Golf Channel,"#골프, #골프","500명(2.2%)
                ","
                22,900
              "
139,Clumsy Namjoon- Ahh,,"500명(2.1%)
                ","
                24,100
              "
140,Sahee Actress TV,"#Kpop, #Kdrama","500명(2%)
                ","
                25,200
              "
141,REA:TIC[리틱],"#리틱, #리아틱","500명(1.9%)
                ","
                25,700
              "
142,초코리타,"#초코리타, #포켓몬스터","500명(1.9%)
                ","
                25,900
              "
143,무언가 無言歌,"#클래식, #클래식","500명(1.9%)
                ","
                26,000
              "
144,아빠의사의 인생 스킬북 : Life Skill Book,"#인간관계, #심리학","500명(1.9%)
                ","
                26,500
              "
145,neo chaotic,"#NCT, #Kpop","500명(1.8%)
                ","
                27,500
              "
146,Sounds Good Kpop,"#멜론차트, #멜론","500명(1.8%)
                ","
                28,200
              "
147,발품하우스,"#발품하우스, #미분양아파트","500명(1.7%)
                ","
                29,600
              "
148,L.L,"#작업용, #노동요","500명(1.7%)
                ","
                30,200
              "
149,Loopy,"#Loopy, #루피","500명(1.6%)
                ","
                31,100
              "
150,스테이지박스 / STAGE BOX,"#라이브, #Live","500명(1.6%)
                ","
                31,300
              "
151,쪼앤 JOANNE,,"499명(2%)
                ","
                25,099
              "
152,offweb,"#플레이리스트, #광고없는","499명(1.6%)
                ","
                30,299
              "
153,PBA TV,"#당구, #프로당구","401명(1.9%)
                ","
                20,700
              "
154,윤꾼 Yoon Koon,"#북킹부킹, #윤꾼","400명(3.7%)
                ","
                10,700
              "
155,슬기로운 바다투망,"#투망낚시, #바다투망","400명(3.6%)
                ","
                11,200
              "
156,택수의 투시경,"#이택수, #투시경","400명(3.2%)
                ","
                12,400
              "
157,이은지 저장소,"#이은지, #코빅이은지","400명(3.1%)
                ","
                13,100
              "
158,정신못차린 취준생,"#고양이, #새끼고양이, #아기고양이, #길냥이, #오드아이, #하얀고양이, #냥줍, #냥, #냥이, #집사, #냥냥충, #떼껄룩, #간택, #참치, #고양이짝짖기, #알수없는알고리즘","400명(3.1%)
                ","
                13,100
              "
159,LXTV 국토인터넷방송국,"#LX한국국토정보공사, #웹예능","400명(3%)
                ","
                13,300
              "
160,웰스토리TV,"#삼성, #급식","400명(2.9%)
                ","
                13,700
              "
161,이선옥TV,"#우먼스플레인, #기본권","400명(2.5%)
                ","
                15,700
              "
162,Mukbang Yomi,,"400명(2.5%)
                ","
                15,900
              "
163,고성균의 장군! 멍군!,,"400명(2.5%)
                ","
                16,100
              "
164,KBS실험실,,"400명(2.5%)
                ","
                16,100
              "
165,WEALLLIKE 위올라이크,"#welikeyou, #패션채널","400명(2.4%)
                ","
                17,000
              "
166,IM Raccoon,,"400명(2.2%)
                ","
                18,100
              "
167,짧은 영상 채널 shorts video channel,,"400명(2.1%)
                ","
                19,500
              "
168,StellaKuTV 스쿠티비,"#femaleguitarist, #스쿠티비","400명(2%)
                ","
                19,900
              "
169,해피라이프챌린지100,"#인기, #가요","400명(1.9%)
                ","
                21,000
              "
170,Dow-Dow도우도우,,"400명(1.8%)
                ","
                21,700
              "
171,마복필,"#휴학생, #브이로그","400명(1.7%)
                ","
                23,400
              "
172,하준 HaJoon,"#이거맞아, #어수룩남친","400명(1.7%)
                ","
                23,600
              "
173,[중탄소년단] 구독자 2.4만명 만들기,,"400명(1.7%)
                ","
                23,700
              "
174,하루 종합 뉴스,"#박근혜, #이재용","400명(1.7%)
                ","
                24,200
              "
175,windbird,"#가사, #가사해석","400명(1.6%)
                ","
                25,400
              "
176,거북도사,#로블록스,"400명(1.6%)
                ","
                25,800
              "
177,"여가네 / 여경래, 박은영 셰프","#여경래, #박은영","400명(1.5%)
                ","
                26,400
              "
178,라티노RATINO BEATBOX,"#ratino, #beatbox","400명(1.5%)
                ","
                26,500
              "
179,디자인을담다 클라이언트 업로드용 계정,"#필터퀸, #크린라이프","399명(3.5%)
                ","
                11,299
              "
180,오마이갓-백두산,"#미어캣, #meerkat","399명(2%)
                ","
                20,099
              "
181,제이통,"#제이통, #jtong","399명(2%)
                ","
                20,299
              "
182,차원장의풋통령TV,"#레푸스, #무좀발톱","301명(1.8%)
                ","
                16,600
              "
183,Insecteller,"#충왕전, #사슴벌레","300명(2.9%)
                ","
                10,400
              "
184,부산아지매미카,"#트로트, #미스트롯","300명(2.8%)
                ","
                10,800
              "
185,코지 COSY,"#mukbang, #eating","300명(2.8%)
                ","
                10,900
              "
186,생각_think,"#생각, #재태크","300명(2.7%)
                ","
                11,100
              "
187,BobRoss_KR,"#밥로스, #밥로스아저씨","300명(2.5%)
                ","
                12,000
              "
188,눈팅 nunting,,"300명(2.3%)
                ","
                13,200
              "
189,BeamNG Gamer,,"300명(2.3%)
                ","
                13,300
              "
190,진짜통신,"#민주당, #더불어민주당","300명(2.2%)
                ","
                13,400
              "
191,조일장TV[곰튜브],"#조일장, #일장곰","300명(2.2%)
                ","
                13,500
              "
192,구떠여,"#amggt, #2020amggt","300명(2.1%)
                ","
                14,000
              "
193,sogyo table 소교식탁TV,,"300명(2.1%)
                ","
                14,000
              "
194,YEONJI TV,,"300명(2.1%)
                ","
                14,400
              "
195,꧁kizoku - chan꧂,,"300명(2.1%)
                ","
                14,500
              "
196,백나른의 로블록스,"#로블록스, #킹피스","300명(2.1%)
                ","
                14,600
              "
197,토르빅- 낚시뮤비채널,"#갑오징어낚시, #갑오징어","300명(2.1%)
                ","
                14,600
              "
198,해외시선,"#해외소식, #해외반응","300명(2%)
                ","
                14,700
              "
199,Kpop tiktok dance,"#Tiktok, #dance","300명(2%)
                ","
                14,900
              "
200,빵빵쭌프로,"#김연준, #김연준프로","300명(2%)
                ","
                15,000
              "
201,북클럽LAB,"#유아, #아동","300명(1.8%)
                ","
                16,700
              "
202,오늘하루 심슨,,"300명(1.8%)
                ","
                16,900
              "
203,소종섭의 상식학교,"#이준석, #이준석","300명(1.7%)
                ","
                17,300
              "
204,코인킹,"#비트코인, #이더리움","300명(1.7%)
                ","
                17,600
              "
205,작심만일 : 성공 마인드 동반자,"#동기부여, #자기계발","300명(1.7%)
                ","
                17,600
              "
206,서울맨,,"300명(1.7%)
                ","
                17,600
              "
207,Seoul Trip Walk,"#korea, #seoul","300명(1.7%)
                ","
                17,800
              "
208,PLAY PUB,"#athlete, #athletics","300명(1.7%)
                ","
                17,900
              "
209,인천광역시교육청,"#인천시교육청, #인천","300명(1.7%)
                ","
                18,100
              "
210,치즈쿠키커피 Cheese Cookie Coffee,"#고양이, #길고양이","300명(1.7%)
                ","
                18,100
              "
211,종말맨,"#붕괴3rd, #게임","300명(1.6%)
                ","
                18,600
              "
212,핑크츄 만들기 Pinkchu DIY,"#Diy, #무료도안공유","300명(1.6%)
                ","
                18,600
              "
213,ゆち유치,"#モッパン, #먹방","300명(1.6%)
                ","
                18,800
              "
214,강사장 owner kang ღ,,"300명(1.6%)
                ","
                18,900
              "
215,라보,,"300명(1.6%)
                ","
                19,100
              "
216,이슈모아,"#이슈, #뻑가","300명(1.5%)
                ","
                20,000
              "
217,버터공장,,"299명(2.2%)
                ","
                13,899
              "
218,To Make It Count순간을 소중히,"#사랑노래, #플레이리스트","201명(1.7%)
                ","
                11,500
              "
219,신민정 Shin Min Jeong,"#Blender3D, #b3d","201명(1.7%)
                ","
                11,600
              "
220,풀도서관,"#대도서관, #대도","200명(2%)
                ","
                10,200
              "
221,노래한모금모금,"#일본노래, #일본곡","200명(2%)
                ","
                10,200
              "
222,Workt ASMR 웍트,"#asmr, #시각적팅글","200명(2%)
                ","
                10,200
              "
223,팡지니TV,"#턱걸이, #3대운동","200명(1.9%)
                ","
                10,600
              "
224,먹지희Mukjihee,,"200명(1.8%)
                ","
                10,900
              "
225,급매물임장TV,"#급매물부동산, #부동산임장","200명(1.8%)
                ","
                10,900
              "
226,복실복실무민,"#고기, #병맛더빙","200명(1.8%)
                ","
                10,900
              "
227,Anette and Insang,"#Internationalcouple, #amwf","200명(1.8%)
                ","
                10,900
              "
228,이송경,"#이송경, #송경","200명(1.8%)
                ","
                10,900
              "
229,Noré,"#비키니, #미스맥심","200명(1.8%)
                ","
                11,000
              "
230,스굴탱이 SGT,"#왕실, #여행","200명(1.7%)
                ","
                11,800
              "
231,발키리,"#애니메이션, #귀멸의칼날","200명(1.7%)
                ","
                11,800
              "
232,obly,"#apex, #obly","200명(1.7%)
                ","
                12,100
              "
233,에브리데이 신주아,"#태국, #태국","200명(1.7%)
                ","
                12,100
              "
234,셒구TV [SF9],"#케미폭발, #인재다, #레전드, #레전드영상, #명대사, #찬희맘, #찬희막내, #막내온탑, #부둥부둥, #막내사랑, #영빈, #인성, #재윤, #주호, #다원, #태양, #휘영, #프로예능인","200명(1.6%)
                ","
                12,200
              "
235,Jay in Korea,"#jay, #korea","200명(1.6%)
                ","
                12,300
              "
236,하이런 스탁,"#주식투자, #삼성전자","200명(1.6%)
                ","
                12,400
              "
237,털보의사 김진균,"#털보의사, #희망찬병원","200명(1.6%)
                ","
                12,400
              "
238,잡상인,"#사랑이꽃피는교실, #웃긴영상","200명(1.6%)
                ","
                12,500
              "
239,보현도령-대륜학당 010-8525-1588,#vivavideo,"200명(1.6%)
                ","
                12,600
              "
240,나진Najin,"#MUKBANG, #ASMR","200명(1.6%)
                ","
                12,600
              "
241,현대건설기계,"#굴삭기, #포크레인","200명(1.6%)
                ","
                12,700
              "
242,밍코치,"#강철부대, #sdt","200명(1.5%)
                ","
                13,300
              "
243,리시안,,"199명(1.8%)
                ","
                11,299
              "
244, ᴢ ᴀ ʀ ɢ ɪ 자르기,,"190명(1.9%)
                ","
                10,000
              "
245,해방촌 축구회사,"#K리그, #팀트웰브","160명(1.6%)
                ","
                10,000
              "
